_id, description, financings, states, title
{ "$oid" : "5265e65540a44e0e8900003c"},"IMPLANTACAO DA LINHA DE TRANSMISSAO PORTO VELHO (RO) - ABUNA (RO) - RIO BRANCO (AC), EM CIRCUITO SIMPLES, 230 KV, COM EXTENSAO DE 487 KM.",[ ],[ ],"Linha de transmissão Porto Velho (RO), Abuna (RO) e Rio Branco (AC)"
{ "$oid" : "5265ea7440a44e0e89000040"},"IMPLANTACAO DA LT JAURU - CUIABA EM 500 KV, COM 348 KM, E RESPECTIVAS SUBESTACOES JAURU E AMPLIACAO DA SUBESTACAO CUIABA, LOCALIZADOS NO ESTADO DO MATO GROSSO, OBJETO DO LOTE E DO LEILAO 001/2009 DA ANEEL.",[ ],[ ],"Implantação da linha de transmissão Jauru (MT) - Cuiabá (MT)"
{ "$oid" : "5265eafb40a44e0e89000042"},"IMPLANTAÇÃO DA PCH BOCAIUVA, NO RIO CRAVARI, MUNICÍPIO DE BRASNORTE-MT, COM CAPACIDADE INSTALADA DE 30 MW, BEM COMO DO RESPECTIVO SISTEMA DE TRANSMISSAO ASSOCIADO, NECESSARIO A INTERLIGAÇÃO COM A CENTRAIS ELETRICAS MATOGROSSENSES - CEMAT.",[ ],[ ],"Pequena Central Hidréletrica Bocaiúva"
{ "$oid" : "5265eb2640a44e0e89000044"},"IMPLANTACAO DA PCH CIDEZAL, LOCALIZADA NO RIO JURUENA, ENTRE OS MUNICIPIOS DE SAPEZAL E CAMPOS DE JULIO, AMBOS NO ESTADO DO MATO GROSSO, COM POTENCIA TOTAL INSTALADA DE 17,0 MW, BEM COMO DA LT EM 138 KV, CIRCUITO DUPLO, COM 230 KM DE EXTENSAO",[ ],[ ],"Pequena Central Elétrica Cidezal"
{ "$oid" : "5265ebd940a44e0e89000046"},"IMPLANTACAO DA PCH PARECIS, LOCALIZADA NO RIO JURUENA, ENTREOS MUNICIPIOS DE SAPEZAL E CAMPOS DE JULIO, AMBOS NO ESTADODO MATO GROSSO, COM POTENCIA TOTAL INSTALADA DE 15,4 MW, BEMCOMO DA LT EM 138 KV, CIRCUITO SIMPLES, COM 23 KM DE EXTENSAO",[ ],[ ],"PCH Parecis"
{ "$oid" : "5265ec2840a44e0e89000048"},"IMPLANTACAO DA PCH RONDON, LOCALIZADA NO RIO JURUENA, ENTREOS MUNICIPIOS DE SAPEZAL E CAMPOS DE JULIO, AMBOS NO ESTADODO MATO GROSSO, COM POTENCIA TOTAL INSTALADA DE 13,0 MW, BEM COMO DA LT EM 138 KV, CIRCUITO SIMPLES, COM 47 KM DE EXTENSAO, NECESSARIA PARA INTERLIGACAO A REDE BASICA.",[ ],[ ],"PCH Rondon"
{ "$oid" : "5265ec3f40a44e0e8900004a"},"IMPLANTACAO DA PCH SANTA GABRIELA, COM POTENCIA TOTAL INSTALADA DE 24 MW, NO RIO CORRENTES, DIVISA DOS MUNICIPIOS DE ITIQUIRA-MT E SONORA-MS, BEM COMO DA LINHA DE TRANSMISSAO NECESSARIA A INTERLIGACAO AO SISTEMA ELETRICO DA CEMAT - CENTRAIS ELETRICAS MATOGROSSENSES S.A.",[ ],[ ],"PCH Santa Gabriela"
{ "$oid" : "5265ec5040a44e0e8900004c"},"IMPLANTACAO DA PCH SAPEZAL, LOCALIZADA NO RIO JURUENA, ENTREOS MUNICIPIOS DE SAPEZAL E CAMPOS DE JULIO, AMBOS NO ESTADODO MATO GROSSO, COM POTENCIA TOTAL INSTALADA DE 16,0 MW, BEM COMO DA LT EM 138 KV, CIRCUITO SIMPLES, COM 16 KM DE EXTENSAO, NECESSARIA PARA INTERLIGACAO A REDE BASICA.",[ ],[ ],"PCH Sapezal"
{ "$oid" : "5265ec8240a44e0e8900004e"},"IMPLANTACAO DA PCH TELEGRAFICA, LOCALIZADA NO RIO JURUENA, ENTRE OS MUNICIPIOS DE SAPEZAL E CAMPOS DE JULIO, AMBOS NO ESTADO DO MATO GROSSO, COM POTENCIA TOTAL INSTALADA DE 30,0 MWBEM COMO DA LT EM 138 KV, CIRCUITO SIMPLES, COM 53 KM DE EXTENSAO",[ ],[ ],"PCH Telegráfica"
{ "$oid" : "5265ec9840a44e0e89000050"},"IMPLANTAÇÃO DA PEQUENA CENTRAL HIDRELETRICA (PCH) SALTO COM 19 MW DE CAPACIDADE, NO RIO JAURU, BACIA HIDROGRAFICA DO RIOPARAGUAI, NOS MUNICÍPIOS DE JAURU E INDIAVAI, ESTADO DO MATOGROSSO, E DA LINHA DE TRANSMISSAO ASSOCIADA.ICO DA CEMAT.",[ ],[ ],"PCH Salto"
{ "$oid" : "5265ecab40a44e0e89000052"},"IMPLANTACAO DA SUBESTACAO COLETORA PORTO VELHO EM 500/230 KV, DE DUAS ESTACOES CONVERSORAS CA/CC/CA TIPO BACK-TO-BACK DE 400 MW CADA E DA LINHA DE TRANSMISSAO EM 230 KV, DOIS CIRCUITOS SIMPLES, COM EXTENSAO APROXIMADA DE 17,3 KM, COM ORIGEM NA SUBESTACAO COLETORA PORTO VELHO E TERMINO NA MESMA.",[ { "$oid" : "52680f6ef845eb0000000014"} , { "$oid" : "526818c7f845eb0000000032"}],[ ],"Implantação da subestação e de estações conversoras em Porto Velho (RO)"
{ "$oid" : "5265edbf40a44e0e89000054"},"IMPLANTACAO DA UHE SANTO ANTONIO DO JARI COM 373 MW DE POTENCIA INSTALADA, LOCALIZADA NO RIO JARI, ENTRE OS MUNICIPIOS DE ALMEIRIM (PA) E LARANJAL DO JARI (AP), OBJETO DO 11§ LEILAO DE ENERGIA NOVA (2010) DA ANEEL.",[ { "$oid" : "526739fb054aaf000000001e"}],[ ],"UHE Santo Antonio do Jari"
{ "$oid" : "5265ef6740a44e0e8900005c"},"IMPLANTACAO DAS LINHAS DE TRANSMISSAO CUIABA - NOBRES E NOBRES C2 - NOVA MUTUM DE 230 KV, OBJETOS DO LEILAO ANEEL Nº 005 /2009, LOTE D, LOCALIZADAS NO ESTADO DO MATO GROSSO, COM EXTENSAO TOTAL DE 235 KM.",[ ],[ ],"Linhas de transmissão Cuiabá-Nobres (MT) e Nobres C2-Nova Mutum (MT)"
{ "$oid" : "5265ef9d40a44e0e8900005e"},"IMPLANTAÇÃO DE DOIS ALTOS-FORNOS PARA PRODUÇÃO DE 500 MIL T/ANODE FERRO GUSA E UMA PLANTA DE SINTERIZAÇÃO, EM BARCARENA -PA.",[ ],[ ],"Alto-fornos e planta de sinterização em Bacarena (PA)"
{ "$oid" : "5265f08c40a44e0e89000062"},"IMPLANTACAO DE INFRA-ESTRUTURA DE URBANIZACAO, SANEAMENTO,AGUA ENERGIA E COMUNICACAO DO PARQUE DE CIENCIA E TECNOLOGIA GUAMA (PCT GUAMA) A SER INSTALADO NO CAMPUS DA UNIVERSIDADE FEDERAL DO PARA, BEM COMO A CONSTRUCAO DOS PREDIOS PARAADMINISTRACAO E PARA A INCUBADORA DE EMPRESAS",[ ],[ ],"Saneamento e abastecimento do PCT Guama"
{ "$oid" : "5265f0cb40a44e0e89000064"},"IMPLANTAÇÃO DE INFRAESTRUTURA DE SANEAMENTO, DE MICRO E DE MACRODRENAGEM E DE URBANIZAÇÃO DE CARÁTER COMPLEMENTAR NA REGIÃO DAS SUB-BACIAS 3 E 4 DA BACIA HIDROGRÁFICA DA ESTRADA NOVA NO MUN-BELEM/PA",[ ],[ ],"Investimentos em saneamento, drenagem e urbanização no município de Belém (PA)"
{ "$oid" : "5265f12d40a44e0e89000067"},"IMPLANTACAO DE PATIO DE ARMAZENAGEM COM CAPACIDADE ESTATICA SUPERIOR A 49 MILHOES DE LITROS DE COMBUSTIVEL DERIVADOS DE PETROLEO E BIOCOMBUSTIVEL E DE PORTO FLUTUANTE PARA RECEPCAO E DISTRIBUICAO DE COMBUSTIVEIS, EM ITACOATIARA - AM.",[ ],[ ],"Pátio de Armazenagem e Porto Flutuante em  Itacoatiara (AM)"
{ "$oid" : "5265f1c640a44e0e8900006a"},"IMPLANTACAO DE PROGRAMA DE INVESTIMENTOS EM SANEAMENTO, EDUCACAO, SAUDE E DESENVOLVIMENTO SOCIAL, NOS MUNICIPIOS DO ESTADO DO PARA SITUADOS NA AREA DE INFLIENCIA DA COMPANHIA VALEDO RIO DOCE(VALE), COM RECURSOS NAO REEMBOLS. PROVENIENTES DO FUNDO P/O DESENV.REGIONAL C/RECURSOS DA DESESTATIZACAO FRD",[ ],[ ],"Programa de investimentos em saneamento, educação e outras áreas no Pará"
{ "$oid" : "5265f1fb40a44e0e8900006c"},"IMPLANTACAO DE TERMINAL INTERMODAL RODOFERROVIARIO EM ALTO TAQUARI - MT, EXPANSAO DE CAMARA FRIGORIFICADA EXISTENTE EM CUBATAO - SP E CONSTRUCAO DE RAMAL FERROVIARIO EM CUBATAO - SP.",[ ],[ ],"Pacote de investimentos Brado Logística"
{ "$oid" : "5265f22b40a44e0e8900006e"},"IMPLANTAÇÃO DE UNIDADE DE MOAGEM DE CIMENTO DO TIPO PORTLAND DE ALTO FORNO (CP III), COM CAPACIDADE DE PRODUÇÃO DE 460 MIL T/ANO, NO MUNICÍPIO DE BARCARENA - PA.",[ ],[ ],"Planta de moagem de cimento em Barbacena (PA)"
{ "$oid" : "5265f39e40a44e0e89000070"},"IMPLANTACAO DE UNIDADE INDUSTRIAL PARA PRODUCAO INTEGRADA DE FERTILIZANTES DO TIPO SUPER FOSFATO SIMPLES(SSP) GRANULADO COM CAPACIDADE NOMINAL DE PRODUCAO DE 600 MIL T/ANO, NO MUNICIPIO DE ARRAIAS, ESTADO DO TOCANTINS,ALEM DE INVESTIMENTOS SOCIAIS NO AMBITO DA COMUNIDADE.",[ ],[ ],"Unidade Produtora de Fertilizantes em Arraias (TO)"
{ "$oid" : "5265f49940a44e0e89000075"},"IMPLANTACAO DO PROGRAMA DE DESENVOLVIMENTO INTEGRADO DA CIDADE DE RIO BRANCO (AC), ENVOLVENDO OBRAS DE INFRA-ESTRUTURA URBANA, CONSOLIDACAO DO SETOR TURISTICO, FORTALECIMENTO DA PRODUCAO AGROFLORESTAL E DESENVOLVIMENTO SOCIAL",[ ],[ ],"Programa de desenvolvimento de Rio Branco (AC)"
{ "$oid" : "5265f4bf40a44e0e89000077"},"IMPLANTACAO DO PROGRAMA DE INVESTIMENTOS NAS AREAS DE SAUDE, URBANISMO E INFRAESTRUTURA DE TRANSPORTE DO ESTADO DO PARA.",[ ],[ ],"Investimentos em Saúde, Urbanismo, Transportes no Estado do Pará"
{ "$oid" : "5265f4e440a44e0e89000079"},"IMPLANTACAO DO SISTEMA DE ESGOTAMENTO SANITARIO DE SINOP/MT, NA REGIAO CENTRAL DA CIDADE VISAMDO ATENDER A CERCA DE 40% DA POPULACAO URBANA",[ ],[ ],"Implantação de Sistema de Saneamento no município de Sinop (MT)"
{ "$oid" : "5265f50040a44e0e8900007b"},"IMPLANTACAO E OPERACAO DO SISTEMA DE TRANSMISSAO LOCALIZADO NOS ESTADOS DO MT E RO, COMPOSTO PELA LINHA DE TRANSMISSAO JAURU - VILHENA, COM 354 KM DE EXTENSAO EM 230 KV, E, ADICIONALMENTE, INVESTIMENTOS SOCIAIS NAO CONTEMPLADOS NAS CONDICIONANTES DO PROCESSO DE LICENCIAMENTO AMBIENTAL.",[ ],[ ],"Linha de transmissão Jauru (MT) - Vilhena (RO)"
{ "$oid" : "5265f57740a44e0e89000082"},"IMPLANTACAO, EM CARATER DE REFORCO, DA SUBESTACAO CASTANHAL EM 230 KV, LOCALIZADA NO MUNICIPIO DE SAO FRANCISCO DO PARA - PA, E SECCIONAMENTO DA LINHA DE TRANSMISSAO VILA DO CONDE - SANTA MARIA (230 KV), VISANDO INCORPORAR A NOVA SUBESTACAO.",[ ],[ ],"Subestação e linha de transmissão em Vila do Conde - Santa Maria do Pará"
{ "$oid" : "525c5a9b72e56d0000000003"},"Hidrelétrica de Belo Monte, entre os municípios de Volta do Xingú (PA) e Altamira (PA).",[ { "$oid" : "52673557a98d870000000003"} , { "$oid" : "526738ae054aaf0000000011"} , { "$oid" : "5265f64c40a44e0e89000084"} , { "$oid" : "526604592f7d5a30e4000003"}],[ "Pará"],"Usina Hidrelétrica de Belo Monte"
{ "$oid" : "525c5c3172e56d0000000007"},"Construção da hidrelétrica de Santo Antônio no município de Porto Velho (RO), além de linhas de transmissão.",[ { "$oid" : "52673627a98d870000000009"} , { "$oid" : "52673658a98d87000000000b"}],[ "Rondônia"],"Usina Hidrelétrica de Santo Antônio"
{ "$oid" : "525c5d9a72e56d000000000b"},"Investimentos na Estrada de Ferro Carajás, terminal ferroviário Ponta da Madeira e Terminal Marítimo Ponta da Madeira.",[ { "$oid" : "526737bc054aaf0000000004"} , { "$oid" : "526737fe054aaf0000000006"}],[ "Pará"],"Estrada de Ferro Carajás"
{ "$oid" : "525c5c0c72e56d0000000005"},"Implantação da hidrelétrica de Jirau no município de Porto Velho (RO) e do sistema de transmissão.",[ { "$oid" : "526735d5a98d870000000005"} , { "$oid" : "526735ffa98d870000000007"} , { "$oid" : "52673874054aaf000000000d"} , { "$oid" : "52673895054aaf000000000f"}],[ "Roraima"],"Usina Hidrelétrica de Jirau"
{ "$oid" : "5265e94040a44e0e8900003e"},"IMPLANTACAO DA LINHA DE TRANSMISSAO PORTO VELHO (RO) - ARARAQUARA 2 (SP), EM 600 KV, COM APROXIMADAMENTE 2.375 KM DE EXTENSAO, INTEGRANTE DO SISTEMA DE TRANSMISSAO DO RIO MADEIRA.",[ { "$oid" : "526738eb054aaf0000000013"} , { "$oid" : "526818f3f845eb0000000034"}],[ ],"Linha de transmissão Porto Velho (RO) - Araraquara (SP)"
{ "$oid" : "5265be5ed984b94f87000003"},"IMPLANTAÇÃO DA UHE ESTREITO, COM CAPACIDADE INSTALADA DE GERAÇÃO DE 1.087 MW, LOCALIZADA NO TRECHO MEDIO DO RIO TOCANTINS, ENTRE OS MUNICÍPIOS DE ESTREITO-MA, PALMEIRAS DO TOCANTINS-TO E AGUIARNOPOLIS-TO, BEM COMO DO SEU RESPECTIVO SISTEMA DE TRANSMISSAO ASSOCIADO (PROJETO NO AMBITO DO PAC).",[ { "$oid" : "52673927054aaf0000000017"} , { "$oid" : "52680912f845eb0000000003"} , { "$oid" : "52680cecf845eb000000000d"} , { "$oid" : "52680d57f845eb000000000f"}],[ "Maranhão" , "Tocantins"],"Usina Hidrelétrica de Estreito"
{ "$oid" : "5265c55d40a44e0e89000006"},"IMPLANTACAO DE UMA UNIDADE DE MOAGEM DE CLINQUER PARA FABRICACAO DE CIMENTO, EM SAO LUIS-MA.",[ { "$oid" : "52673ea24e78700000000010"}],[ "Maranhão"],"Nova unidade de moagem de clínquer em São Luís (MA)"
{ "$oid" : "5265c5a840a44e0e89000008"},"AMPLIACAO DE TANCAGEM E MODERNIZACAO DAS BASES OPERACIONAIS E POOLS LOCALIZADOS NOS ESTADOS DE SAO PAULO, MINAS GERAIS, RIO DE JANEIRO, PARANA, RIO GRANDE DO SUL, BAHIA, MATO GROS-SO, MATO GROSSO DO SUL, PAR , AMAPA, AMAZONAS E RORAIMA.",[ { "$oid" : "52673edf4e78700000000016"}],[ ],"Plano de investimentos Ipiranga"
