project, amount, contractDate, _id, description, isDirect
{ "$oid" : "5265be5ed984b94f87000003"},687286400,{ "$date" : "0008-03-04T00:00:00.000Z"},{ "$oid" : "52680912f845eb0000000003"},"IMPLANTAÇÃO DA UHE ESTREITO, COM CAPACIDADE INSTALADA DE GERAÇÃO DE 1.087 MW, LOCALIZADA NO TRECHO MEDIO DO RIO TOCANTINS, ENTRE OS MUNICÍPIOS DE ESTREITO-MA, PALMEIRAS DO TOCANTINS-TO E AGUIARNOPOLIS-TO, BEM COMO DO SEU RESPECTIVO SISTEMA DE TRANSMISSAO ASSOCIADO (PROJETO NO AMBITO DO PAC).",true
{ "$oid" : "5265bf4bd984b94f87000006"},650285366,{ "$date" : "2008-02-14T00:00:00.000Z"},{ "$oid" : "52680af9f845eb0000000006"},"\"IMPLANTAÇÃO DA UNIDADE 2 DA REFINARIA DO CONSORCIO ALUMAR, COM OBJETIVO DE\r\nAUMENTAR A PRODUÇÃO DE ALUMINA EM 2,1 MILHOES DE T/ANO, EM SAO LUIS-MA.\"",true
{ "$oid" : "5265e00c40a44e0e89000031"},641160000,{ "$date" : "2011-12-09T00:00:00.000Z"},{ "$oid" : "52680ba6f845eb0000000009"},"EXPANSAO DO SANEAMENTO AMBIENTAL E DA INFRAESTRUTURA URBANA, FORTALECIMENTO ECONOMICO DA PROCUCAO RUAL FAMILIAR E DO ECOTURISMO, DESENVOLVIMENTO DO SETOR INDUSTRIAL E MODERNIZACAO DA GESTAO PUBLICA, NO AMBITO DA FASE V DO PROGRAMA INTEGRADO DE DESENVOLVIMENTO SUSTENTAVEL DO ESTADO DO ACRE - PIDS V.",true
{ "$oid" : "525c5c8372e56d0000000009"},530628492,{ "$date" : "2012-06-06T00:00:00.000Z"},{ "$oid" : "52680bc6f845eb000000000b"},"CONSTRUCAO DE UMA NOVA UNID. INDUSTRIAL COM CAPAC. DE PRODUCAO DE 1,4 MILHAO DE TON/ANO DE CELULOSE BRANQUEADA DE EUCALIPTO EM IMPERATRIZ-MA, BEM COMO IMPLANTACAO DA INFRAESTRUTURA DE APOIO NECESSARIA A FUTURA OPERACAO DA NOVA PLANTA E INVESTIMENTOS SOCIAIS E AMBIENTAIS NA AREA DE INFLUENCIA.",true
{ "$oid" : "5265be5ed984b94f87000003"},524483600,{ "$date" : "2008-03-11T00:00:00.000Z"},{ "$oid" : "52680cecf845eb000000000d"},"IMPLANTACAO DA UHE ESTREITO, COM CAPACIDADE INSTALADA DE GERACAO DE 1.087 MW, LOCALIZADA NO TRECHO MEDIO DO RIO TOCANTINS, ENTRE OS MUNICIPIOS DE ESTREITO-MA, PALMEIRAS DO TOCANTINS-TO E AGUIARNOPOLIS-TO, BEM COMO DO SEU RESPECTIVO SISTEMA DE TRANSMISSAO ASSOCIADO (PROJETO NO AMBITO DO PAC).",false
{ "$oid" : "5265be5ed984b94f87000003"},524483600,{ "$date" : "2008-03-11T00:00:00.000Z"},{ "$oid" : "52680d57f845eb000000000f"},"IMPLANTAÇÃO DA UHE ESTREITO, COM CAPACIDADE INSTALADA DE GERAÇÃO DE 1.087 MW, LOCALIZADA NO TRECHO MEDIO DO RIO TOCANTINS, ENTRE OS MUNICÍPIOS DE ESTREITO-MA, PALMEIRAS DO TOCANTINS-TO E AGUIARNOPOLIS-TO, BEM COMO DO SEU RESPECTIVO SISTEMA DE TRANSMISSAO ASSOCIADO (PROJETO NO AMBITO DO PAC).",true
{ "$oid" : "5265f40040a44e0e89000073"},516487630,{ "$date" : "2012-12-13T00:00:00.000Z"},{ "$oid" : "52680f03f845eb0000000012"},"IMPLANTACAO DO PLANO DE INVESTIMENTOS PARA O PERIODO DE SETEMBRO/2011 - 2014, ABRANGENDO INVESTIMENTOS EM ATUALIZACAO    TECNOLOGICA; CONTENCAO DE PERDAS COMERCIAIS; EXPANSAO DE REDE E NOVAS LIGACOES; MELHORIA DA QUALIDADE DO FORNECIMENTO DE ENERGIA E INVEST P EXPANSAO DE SUBTRANSMISSAO DE ENERGIA",true
{ "$oid" : "5265ecab40a44e0e89000052"},505477000,{ "$date" : "2011-06-30T00:00:00.000Z"},{ "$oid" : "52680f6ef845eb0000000014"},"IMPLANT.DA ESTACAO RETIFIC.DE CORR.ALTERNADA (CA) EM 500 KV  PARA CORR.CONTINUA (CC) EM 600 KV, COM CAPAC.PARA 3150 MW, LOCALIZ. NA SUBEST.COLETORA P.VELHO-RO E DA ESTACAO INVERSORA DE CC EM 600 KV PARA CA EM 500 KV,COM CAPAC.PARA 2950 MW, LOCALIZ.NA SUBEST.ARARAQUARA 2-SP,(LEILAO 007/08-ANEEL).",true
{ "$oid" : "5265ee0540a44e0e89000056"},485090000,{ "$date" : "2008-10-07T00:00:00.000Z"},{ "$oid" : "52680fb6f845eb0000000016"},"IMPLANTAÇÃO DA USINA HIDRELETRICA (UHE) DARDANELOS, COM 261 MW DE CAPACIDADE INSTALADA, A SER LOCALIZADA NO RIO ARIPUANA, NO MUNICÍPIO DE ARIPUANA/MT, BEM COMO DO RESPECTIVO SISTEMA DE TRANSMISSAO ASSOCIADO.",true
{ "$oid" : "5265dbd440a44e0e8900001f"},470610000,{ "$date" : "2012-12-28T00:00:00.000Z"},{ "$oid" : "52680fd8f845eb0000000018"},"CONSTRUCAO DA USINA HIDRELETRICA FERREIRA GOMES, COM POTENCIA TOTAL INSTALADA DE 252 MW, A SER IMPLANTADA NO RIO ARAGUARI, NO MUNICIPIO DE FERREIRA GOMES - AP.",true
