_id, activities, financings, legalName, name, profile, projects
{ "$oid" : "526593db11e44c924100003d"},[ "Transmissão de energia elétrica"],[ ],"Norte Brasil Transmissora De Energia S/A","Norte Brasil","",[ ]
{ "$oid" : "5265846011e44c9241000003"},[ "Transmissão de energia elétrica"],[ ],"Empresa Regional de Transmissão de Energia S/A","ERTE","",[ ]
{ "$oid" : "526599ff11e44c924100005f"},[ "Geração de energia elétrica"],[ ],"Ute Porto Do Itaqui Geracao De Energia Ltda.","UTE Porto do Itaqui","",[ ]
{ "$oid" : "5265895011e44c9241000015"},[ "Administração pública em geral"],[ ],"","Estado do Amazonas","",[ ]
{ "$oid" : "5265896b11e44c9241000017"},[ "Administração pública em geral"],[ ],"","Estado do Mato Grosso","",[ ]
{ "$oid" : "52659b6011e44c9241000067"},[ "Fabricação de cimento"],[ ],"Votorantim Cimentos S/A","Votorantim Cimentos","",[ ]
{ "$oid" : "5265952811e44c9241000041"},[ "Geração de energia elétrica"],[ ],"Parecis Energia S.A.","Parecis Energia","",[ ]
{ "$oid" : "526593b011e44c9241000039"},[ "Administração pública em geral"],[ ],"","Município de Várzea Grande","",[ ]
{ "$oid" : "5265893f11e44c9241000013"},[ "Administração pública em geral"],[ ],"","Estado do Acre","",[ ]
{ "$oid" : "5265935511e44c9241000031"},[ "Administração pública em geral"],[ ],"","Município de Belém","",[ ]
{ "$oid" : "526593ec11e44c924100003f"},[ "Geração de energia elétrica"],[ { "$oid" : "5265f64c40a44e0e89000084"} , { "$oid" : "526604592f7d5a30e4000003"}],"Norte Energia S/A","Norte Energia","",[ ]
