data,valor,tipo,beneficiário,projeto
16/12/2009,241822000,indireto,UTE PORTO DO ITAQUI GERAÇÃO DE ENERGIA LTDA.,"Implantação da termelétrica Porto do Itaqui no município de São Luís (MA), além de linha de transmissão."
18/12/2012,887516000,direto,UTE PARNAIBA GERACAO DE ENERGIA S/A,Implantação de termelétricas a gás no município de Santo Antônio dos Lopes (MA).
19/12/2011,400000000,direto,UTE PARNAIBA GERACAO DE ENERGIA S/A,Implantação de termelétricas a gás no município de Santo Antônio dos Lopes (MA).
08/10/2008,31190127,direto,USIPAR USINA SIDERURGICA DO PARA,Implantação de alto-fornos para produção de ferro gusa e planta de sinterização no município de Bacarena (PA).
26/02/2010,691702000,direto,TRANSPORTADORA ASSOCIADA DE GÁS S/A TAG,"Construção do GLPduto Urucu (AM) -Coari (AM), gasoduto Coari (AM) -Manaus(AM), ramais de escoamento e estações de compressão."
27/02/2012,87300000,indireto,TRANSMISSORA MATOGROSSENSE DE ENERGIA S/A,"Implantação da linha de transmissão Jauru (MT) - Cuiabá (MT), subestações em Jauru e ampliação da subestação Cuiabá (MT)."
26/12/2012,16692308,direto,TERMINAL ITIQUIRA S/A,Construção de terminal rodoferroviário no município de Itiquira (MT).
01/09/2011,13000000,indireto,TELEGRAFICA ENERGIA S.A.,"Implantação da pequenca central hidrelétrica Telegráfica entre os municípios de Sapezal (MT) e Campos de Júlio (MT), além de linha de transmissão."
31/08/2011,13000000,direto,TELEGRAFICA ENERGIA S.A.,"Implantação da pequenca central hidrelétrica Telegráfica entre os municípios de Sapezal (MT) e Campos de Júlio (MT), além de linha de transmissão."
22/12/2010,2701738182,direto,SUZANO PAPEL E CELULOSE S/A,Construção de unidade produtora de celulose e infraestrutura em Imperatriz (MA).
06/06/2012,530628492,direto,SUZANO PAPEL E CELULOSE S/A,Construção de unidade produtora de celulose e infraestrutura em Imperatriz (MA).
11/03/2008,524483600,indireto,SUEZ ENERGIA RENOVAVEL S/A,"Implantação da hidrelétrica Estreito entre os municípios de Estreito (MA), Palmeiras do Tocantins (TO) e Aguiarnópolis (TO). Projeto do PAC."
11/03/2008,524483600,direto,SUEZ ENERGIA RENOVAVEL S/A,"Implantação da hidrelétrica Estreito entre os municípios de Estreito (MA), Palmeiras do Tocantins (TO) e Aguiarnópolis (TO). Projeto do PAC."
01/09/2011,7350000,indireto,SAPEZAL ENERGIA S.A.,"Implantação da pequena central hidrelétrica de Sapezal entre os municípios de Sapezal (MT) e Campos de Júlio (MT), além de linha de transmissão."
31/08/2011,7350000,direto,SAPEZAL ENERGIA S.A.,"Implantação da pequena central hidrelétrica de Sapezal entre os municípios de Sapezal (MT) e Campos de Júlio (MT), além de linha de transmissão."
04/03/2009,3092586200,direto,SANTO ANTONIO ENERGIA S/A,"Construção da hidrelétrica de Santo Antônio no município de Porto Velho (RO), além de linhas de transmissão."
11/03/2009,3042586200,indireto,SANTO ANTONIO ENERGIA S/A,"Construção da hidrelétrica de Santo Antônio no município de Porto Velho (RO), além de linhas de transmissão."
