nome,perfil,total_financiado
SUZANO PAPEL E CELULOSE S/A,Empresa do segmento de celulose de eucalipto. Segunda maior produtora de celulose de eucalipto do mundo e líder de papéis brancos na América do Sul.,3232366674
TELEGRAFICA ENERGIA S.A.,"Empresa responsável pela PCH telegráfica e parte do holding Juruena Participações e Investimentos S.A., grupo detentor de cinco PCHs na área do Juruena.",26000000
TERMINAL ITIQUIRA S/A,"A empresa, responsável pelo Terminal de Itiquira, é administrada pela Seara.",16692308
TRANSMISSORA MATOGROSSENSE DE ENERGIA S/A,"Concessionária de transmissão de energia elétrica pertencente às Centrais Elétrica do Norte S.A (Eletronorte), Alupar Investimento S.A. e Mavi Engenharia e Construções Ltda.",87300000
TRANSPORTADORA ASSOCIADA DE GÁS S/A TAG,"A TAG, maior transportadora de gás natural do país, é subsidiária da Petrobrás Gás (Gaspetro). A empresa atua no segmento de transporte e armazenagem de gás natural em geral, por meio de gasodutos, terminais ou embarcações próprios ou de terceiros.",691702000
USIPAR USINA SIDERURGICA DO PARA,"A empresa é a maior produtora de ferro gusa do país. A Usipar é pertencente ao Grupo Cosipar que, por sua vez, é parte do Grupo Costa Monteiro. A Usipar também está associada à empresa inglesa Mir Steel UK. Tinham a Vale como fornecedoras.",31190127
UTE PARNAIBA GERACAO DE ENERGIA S/A,"A Eneva atua na geração, exploração e venda de energia elétrica através de carvão mineral, gás e fontes renováveis. A antiga MPX Energia também opera na mineração de carvão e produção de gás natural.",1287516000
UTE PORTO DO ITAQUI GERAÇÃO DE ENERGIA LTDA.,"A Eneva atua na geração, exploração e venda de energia elétrica através de carvão mineral, gás e fontes renováveis. A antiga MPX Energia também opera na mineração de carvão e produção de gás natural.",1039470000
VALE S/A,"Empresa da área de mineração, uma das três maiores do setor no mundo. Também atua nos setores de logística, energia e siderurgia.",5239980400
VIDEOLAR S/A,"Empresa produtora de poliestireno (espécie de resina) para fabricação de filmes, CDs, DVDs e Blu-ray, dentre outros, a maior fabricante de mídia ótica e magnética do país.",114413000
VOTORANTIM CIMENTOS N/NE S/A,"Grupo da área de construção, uma das dez maiores do setor no mundo. Também atua nos setores de metalurgia, siderurgia, energia, celulose e agroindústria.",271378972
VOTORANTIM CIMENTOS S.A,"Grupo da área de construção, uma das dez maiores do setor no mundo. Também atua nos setores de metalurgia, siderurgia, energia, celulose e agroindústria.",247458633
