id,uf,name,lat,lon,is_capital
2513703,PB,Santa Rita,-7.1233,-34.9807,false
2513802,PB,Santa Teresinha,,,false
2513851,PB,Santo André,,,false
2513901,PB,São Bento,,,false
2513927,PB,São Bentinho,-6.885961,-37.724345,false
2513943,PB,São Domingos do Cariri,-7.620894,-36.429849,false
2513968,PB,São Domingos,,,false
2513984,PB,São Francisco,,,false
2514008,PB,São João do Cariri,-7.381683,-36.534457,false
2514107,PB,São João do Tigre,-8.077026,-36.85472,false
2514206,PB,São José da Lagoa Tapada,-6.936459,-38.162174,false
2514305,PB,São José de Caiana,-7.246359,-38.298928,false
2514404,PB,São José de Espinharas,-6.839736,-37.321433,false
2514453,PB,São José dos Ramos,-7.252384,-35.372536,false
2514503,PB,São José de Piranhas,-7.118704,-38.50198,false
2514552,PB,São José de Princesa,-7.736329,-38.089432,false
2514602,PB,São José do Bonfim,-7.160695,-37.303625,false
2514651,PB,São José do Brejo do Cruz,-6.210543,-37.360063,false
2514701,PB,São José do Sabugi,-6.762945,-36.797204,false
2514800,PB,São José dos Cordeiros,-7.387749,-36.808494,false
2514909,PB,São Mamede,-6.923862,-37.095436,false
2515005,PB,São Miguel de Taipu,-7.247643,-35.20163,false
2515104,PB,São Sebastião de Lagoa de Roça,-7.075406,-35.856445,false
2515203,PB,São Sebastião do Umbuzeiro,-8.152887,-37.013841,false
2515302,PB,Sapé,,,false
2515401,PB,Seridó,,,false
2515500,PB,Serra Branca,,,false
2515609,PB,Serra da Raiz,-6.685274,-35.437868,false
2515708,PB,Serra Grande,,,false
2515807,PB,Serra Redonda,-7.186216,-35.684195,false
2515906,PB,Serraria,-6.815693,-35.628233,false
2515930,PB,Sertãozinho,,,false
2515971,PB,Sobrado,,,false
2516003,PB,Solânea,-6.7540351,-35.6621943,false
2516102,PB,Soledade,,,false
2516151,PB,Sossêgo,-6.770584,-36.258163,false
2516201,PB,Sousa,-6.751484,-38.231059,false
2516300,PB,Sumé,-7.66206,-36.883972,false
2516409,PB,Tacima,-6.489807,-35.635681,false
2516508,PB,Taperoá,,,false
2516607,PB,Tavares,,,false
2516706,PB,Teixeira,-7.221036,-37.252477,false
2516755,PB,Tenório,-6.938546,-36.627336,false
2516805,PB,Triunfo,,,false
2516904,PB,Uiraúna,-6.515044,-38.412754,false
2517001,PB,Umbuzeiro,,,false
2517100,PB,Várzea,,,false
2517209,PB,Vieirópolis,-6.506845,-38.256666,false
2517407,PB,Zabelê,-8.079012,-37.105676,false
2600054,PE,Abreu e Lima,-7.900719,-34.898389,false
2600104,PE,Afogados da Ingazeira,-7.743121,-37.630991,false
2600203,PE,Afrânio,-8.511358,-41.009544,false
2600302,PE,Agrestina,-8.459657,-35.944725,false
2600401,PE,Água Preta,-8.706095,-35.526311,false
2600500,PE,Águas Belas,,,false
2600609,PE,Alagoinha,,,false
2600708,PE,Aliança,-7.60398,-35.222696,false
2600807,PE,Altinho,-8.48482,-36.064408,false
2600906,PE,Amaraji,-8.376914,-35.450051,false
2601003,PE,Angelim,-8.884289,-36.290174,false
2601052,PE,Araçoiaba,-7.783911,-35.080897,false
2601102,PE,Araripina,-7.570733,-40.494025,false
2601201,PE,Arcoverde,-8.415192,-37.057748,false
2601300,PE,Barra de Guabiraba,-8.420751,-35.658544,false
2601409,PE,Barreiros,,,false
2601508,PE,Belém de Maria,-8.632037,-35.843099,false
2601607,PE,Belém do São Francisco,,,false
2601706,PE,Belo Jardim,-8.3313,-36.425822,false
2601805,PE,Betânia,,,false
2601904,PE,Bezerros,,,false
2602001,PE,Bodocó,-7.777592,-39.933797,false
2602100,PE,Bom Conselho,-9.169191,-36.685683,false
2602209,PE,Bom Jardim,,,false
2602308,PE,Bonito,,,false
2602407,PE,Brejão,-9.029146,-36.566034,false
2602506,PE,Brejinho,,,false
2602605,PE,Brejo da Madre de Deus,-8.149333,-36.374142,false
2602704,PE,Buenos Aires,-7.724488,-35.318197,false
2602803,PE,Buíque,-8.619539,-37.160564,false
2602902,PE,Cabo de Santo Agostinho,-8.2838,-35.0322,false
2603009,PE,Cabrobó,-8.505484,-39.309384,false
2603108,PE,Cachoeirinha,,,false
2603207,PE,Caetés,-8.780301,-36.626828,false
2603306,PE,Calçado,-8.731081,-36.336554,false
