Beneficiário,Perfil do beneficiário,Projeto,Descrição do projeto,Data,Valor,Área,Tipo
TRANSMISSORA MATOGROSSENSE DE ENERGIA S/A,"Concessionária de transmissão de energia elétrica pertencente às Centrais Elétrica do Norte S.A (Eletronorte), Alupar Investimento S.A. e Mavi Engenharia e Construções Ltda.","Implantação da linha de transmissão Jauru (MT) - Cuiabá (MT), subestações em Jauru e ampliação da subestação Cuiabá (MT).","IMPLANTACAO DA LT JAURU - CUIABA EM 500 KV, COM 348 KM, E RESPECTIVAS SUBESTACOES JAURU E AMPLIACAO DA SUBESTACAO CUIABA, LOCALIZADOS NO ESTADO DO MATO GROSSO, OBJETO DO LOTE E DO LEILAO 001/2009 DA ANEEL.",27/02/12,87300000,Área de Infraestrutura,indireto
TERMINAL ITIQUIRA S/A,"A empresa, responsável pelo Terminal de Itiquira, é administrada pela Seara.",Construção de terminal rodoferroviário no município de Itiquira (MT).,"CONSTRUCAO DE UM TERMINAL RODO-FERROVIARIO  COM   CAPACIDADEINSTALADA DE 4,2 MILHOES DE TONELADAS/ANO DESTINADA A   PRESTAR SERVICOS DE TRANSBORDO, ARMAZENAGEM E BENEFICIAMENTO  DEGRAOS, NO MUNICIPIO DE ITIQUIRA, MATO GROSSO.",26/12/12,16692308,Área de Infraestrutura,direto
TELEGRAFICA ENERGIA S.A.,"Empresa responsável pela PCH telegráfica e parte do holding Juruena Participações e Investimentos S.A., grupo detentor de cinco PCHs na área do Juruena.","Implantação da pequenca central hidrelétrica Telegráfica entre os municípios de Sapezal (MT) e Campos de Júlio (MT), além de linha de transmissão.","IMPLANTACAO DA PCH TELEGRAFICA, LOCALIZADA NO RIO JURUENA, ENTRE OS MUNICIPIOS DE SAPEZAL E CAMPOS DE JULIO, AMBOS NO ESTADO DO MATO GROSSO, COM POTENCIA TOTAL INSTALADA DE 30,0 MWBEM COMO DA LT EM 138 KV, CIRCUITO SIMPLES, COM 53 KM DE EXTENSAO, NECESSARIA PARA INTERLIGACAO A REDE BASICA.",01/09/11,13000000,Área de Infraestrutura,indireto
TELEGRAFICA ENERGIA S.A.,"Empresa responsável pela PCH telegráfica e parte do holding Juruena Participações e Investimentos S.A., grupo detentor de cinco PCHs na área do Juruena.","Implantação da pequenca central hidrelétrica Telegráfica entre os municípios de Sapezal (MT) e Campos de Júlio (MT), além de linha de transmissão.","IMPLANTACAO DA PCH TELEGRAFICA, LOCALIZADA NO RIO JURUENA, ENTRE OS MUNICIPIOS DE SAPEZAL E CAMPOS DE JULIO, AMBOS NO ESTADO DO MATO GROSSO, COM POTENCIA TOTAL INSTALADA DE 30,0 MWBEM COMO DA LT EM 138 KV, CIRCUITO SIMPLES, COM 53 KM DE EXTENSAO, NECESSARIA PARA INTERLIGACAO A REDE BASICA.",31/08/11,13000000,Área de Infraestrutura,direto
SUZANO PAPEL E CELULOSE S/A,Empresa do segmento de celulose de eucalipto. Segunda maior produtora de celulose de eucalipto do mundo e líder de papéis brancos na América do Sul.,Construção de unidade produtora de celulose e infraestrutura em Imperatriz (MA).,"CONSTRUÇÃO DE UMA NOVA UNID. INDUSTRIAL COM CAPAC. DE PRODUÇÃO DE 1,4 MILHÃO DE TON/ANO DE CELULOSE BRANQUEADA DE EUCALIPTO EM IMPERATRIZ-MA, BEM COMO IMPLANTAÇÃO DA INFRAESTRUTURA DE APOIO NECESSÁRIA A FUTURA OPERAÇÃO DA NOVA PLANTA E INVESTIMENTOS SOCIAIS E AMBIENTAIS NA ÁREA DE INFLUÊNCIA.",22/12/10,2701738182,Área de Insumos Básicos,direto
SUZANO PAPEL E CELULOSE S/A,Empresa do segmento de celulose de eucalipto. Segunda maior produtora de celulose de eucalipto do mundo e líder de papéis brancos na América do Sul.,Construção de unidade produtora de celulose e infraestrutura em Imperatriz (MA).,"CONSTRUÇÃO DE UMA NOVA UNID. INDUSTRIAL COM CAPAC. DE PRODUÇÃO DE 1,4 MILHÃO DE TON/ANO DE CELULOSE BRANQUEADA DE EUCALIPTO EM IMPERATRIZ-MA, BEM COMO IMPLANTAÇÃO DA INFRAESTRUTURA DE APOIO NECESSÁRIA A FUTURA OPERAÇÃO DA NOVA PLANTA E INVESTIMENTOS SOCIAIS E AMBIENTAIS NA ÁREA DE INFLUÊNCIA.",06/06/12,530628492,Área de Insumos Básicos,direto
SUEZ ENERGIA RENOVAVEL S/A,,"Implantação da hidrelétrica Estreito entre os municípios de Estreito (MA), Palmeiras do Tocantins (TO) e Aguiarnópolis (TO). Projeto do PAC.","IMPLANTAÇÃO DA UHE ESTREITO, COM CAPACIDADE INSTALADA DE GERAÇÃO DE 1.087 MW, LOCALIZADA NO TRECHO MEDIO DO RIO TOCANTINS, ENTRE OS MUNICÍPIOS DE ESTREITO-MA, PALMEIRAS DO TOCANTINS-TO E AGUIARNOPOLIS-TO, BEM COMO DO SEU RESPECTIVO SISTEMA DE TRANSMISSAO ASSOCIADO (PROJETO NO AMBITO DO PAC).",11/03/08,524483600,Área de Infraestrutura,indireto
SUEZ ENERGIA RENOVAVEL S/A,,"Implantação da hidrelétrica Estreito entre os municípios de Estreito (MA), Palmeiras do Tocantins (TO) e Aguiarnópolis (TO). Projeto do PAC.","IMPLANTAÇÃO DA UHE ESTREITO, COM CAPACIDADE INSTALADA DE GERAÇÃO DE 1.087 MW, LOCALIZADA NO TRECHO MEDIO DO RIO TOCANTINS, ENTRE OS MUNICÍPIOS DE ESTREITO-MA, PALMEIRAS DO TOCANTINS-TO E AGUIARNOPOLIS-TO, BEM COMO DO SEU RESPECTIVO SISTEMA DE TRANSMISSAO ASSOCIADO (PROJETO NO AMBITO DO PAC).",11/03/08,524483600,Área de Infraestrutura,direto
SAPEZAL ENERGIA S.A.,"Empresa responsável pela PCH Sapezal e parte do holding Juruena Participações e Investimentos S.A., grupo detentor de cinco PCHs na área do Juruena.","Implantação da pequena central hidrelétrica de Sapezal entre os municípios de Sapezal (MT) e Campos de Júlio (MT), além de linha de transmissão.","IMPLANTACAO DA PCH SAPEZAL, LOCALIZADA NO RIO JURUENA, ENTREOS MUNICIPIOS DE SAPEZAL E CAMPOS DE JULIO, AMBOS NO ESTADODO MATO GROSSO, COM POTENCIA TOTAL INSTALADA DE 16,0 MW, BEM COMO DA LT EM 138 KV, CIRCUITO SIMPLES, COM 16 KM DE EXTENSAO, NECESSARIA PARA INTERLIGACAO A REDE BASICA.",01/09/11,7350000,Área de Infraestrutura,indireto
SAPEZAL ENERGIA S.A.,"Empresa responsável pela PCH Sapezal e parte do holding Juruena Participações e Investimentos S.A., grupo detentor de cinco PCHs na área do Juruena.","Implantação da pequena central hidrelétrica de Sapezal entre os municípios de Sapezal (MT) e Campos de Júlio (MT), além de linha de transmissão.","IMPLANTACAO DA PCH SAPEZAL, LOCALIZADA NO RIO JURUENA, ENTREOS MUNICIPIOS DE SAPEZAL E CAMPOS DE JULIO, AMBOS NO ESTADODO MATO GROSSO, COM POTENCIA TOTAL INSTALADA DE 16,0 MW, BEM COMO DA LT EM 138 KV, CIRCUITO SIMPLES, COM 16 KM DE EXTENSAO, NECESSARIA PARA INTERLIGACAO A REDE BASICA.",31/08/11,7350000,Área de Infraestrutura,direto
