Título,Descrição,Quantidade de ações legais,Descrição das ações legais
Implantação da hidrelétrica de Belo Monte entre os municípios de Volta do Xingú (PA) e Altamira (PA).,"IMPLANTACAO DA USINA HIDRELETRICA DE BELO MONTE, COM 11.233 MW, COM GARANTIA FISICA DE 4.571 MW, NO RIO XINGU, OBJETO DO LEILAO ANEEL N§ 006/2009, DE 20/04/2009, ENTRE OS MUNICIPIOS DE VOLTA DO XINGU E ALTAMIRA(PA)",21,"[Licenciamento conduzido por órgão incompetente. Ausência de licitação para contratação de EIA/RIMA](http://bit.ly/Integra-Belo-Monte-1)

[Ilegalidade do decreto legislativo 788/2005. Ausência de consultas indígenas](http://www.prpa.mpf.gov.br/news/2011/ACP%20Belo%20Monte%202006.pdf/at_download/file)

[EIA/RIMA em confecção sem termo de referência](http://www.prpa.mpf.gov.br/news/2011/ACP_Belo_Monte_termo_referencia.pdf/at_download/file)

[Convênio entre Eletrobrás e empreiteiras para confecção de EIA/RIMA. Ausência de Licitação. Cláusula de confidencialidade irregular](http://www.prpa.mpf.gov.br/news/2011/Belo%20Monte-%20ACPAIA.pdf/at_download/file)

[Convênio entre Eletrobrás e empreiteiras para confecção de EIA/RIMA. Ausência de licitação. Cláusula de confidencialidade irregular](http://www.prpa.mpf.gov.br/news/2011/Belo%20Monte-%20AIA.pdf/at_download/file)

[Ausência de avaliação ambiental integrada. Nulidade do inventário hidrelétrico. Nulidade do registro de viabilidade da UHE belo monte. Nulidade do aceite do EIA/RIMA por incompleto](http://bit.ly/Integra-Belo-Monte-6)

[Aceite ilegal de EIA/RIMA. Violação dos princípios da participação popular, da publicidade, da razoabilidade, da finalidade, da motivação, da legalidade. Ofensa à probidade administrativa](http://www.prpa.mpf.mp.br/news/2011/Improbidade-2009.pdf/at_download/file)

[Violação do direito de informação e participação. Metodologia de audiências públicas falha. Estudos ambientais incompletos. Número de audiências insuficiente para atender os atingidos. Nulidade de audiências por violação das funções institucionais do ministério público](http://www.prpa.mpf.gov.br/news/2011/ACP_Belo_Monte_novas_audiencias.pdf/at_download/file)

[Não consideração das audiências públicas na análise do eia-rima. Carência do diagnóistico do eia-rima. Postergação ilegal do prognóstico de qualidade da água. Descumprimento da resolução conama nº 01/1986. Inconsistência entre vazão real e potência instalada. Necessidade de nova declaração de disponibilidade do recurso hídrico](http://www.prpa.mpf.gov.br/news/2011/ACP%20Belo%20Monte%20potencial%20Hidreletrico%20Irregularidades%20Ambientais.pdf/at_download/file)

[Falta de regulamentação do artigo 176 da CF](http://bit.ly/Integra-Belo-Monte-10)

[Emissão de licença de instalação parcial sem o cumprimento de condicionantes da licença prévia. Licença concedida pelo presidente do Ibama contra parecer técnico do próprio órgão e contra recomendações do MPF. Ações antecipatórias postergadas](http://bit.ly/Integra-Belo-Monte-11)

[Emissão de licença de instalação definitiva sem o cumprimento de condicionantes da licença prévia](http://bit.ly/Integra-Belo-Monte-12)

[Impactos irreversíveis sobre o ecossistema da Volta Grande do Xingu (VGX). A morte iminente do ecossistema](http://bit.ly/Integra-Belo-Monte-13)

[Descumprimento de condicionante da licença de instalação de Belo Monte](http://www.prpa.mpf.gov.br/news/2011/BeloMonte-21-09-2011.PDF)

[40% das condicionantes não cumpridas segundo relatório do órgão licenciador](http://bit.ly/Integra-Belo-Monte-15)

[Erro na medição da cota 100, abaixo da qual haverá alagamento na área urbana de Altamira](http://www.prpa.mpf.mp.br/news/2012/arquivos/ACP%20Cota%20100.pdf)

[Condições estabelecidas para a viabilidade do empreendimento não atendidas pelo empreendedor. Violação da licença ambiental](http://bit.ly/ACP-saneamento-Belo-Monte)

[Condições estabelecidas para a viabilidade do empreendimento não atendidas pelo empreendedor. Violação da licença ambiental](http://www.prpa.mpf.mp.br/news/2013/arquivos/ACP_Belo_Monte_Jurunas_Km17.pdf)

[Impacto sobre índios Xikrin moradores do rio Bacajá. Insuficiência da análise de impactos no EIA-RIMA](http://www.prpa.mpf.mp.br/news/2013/arquivos/ACP_Xikrin.pdf)

[Morte do trabalhador Francisco Orlando Rodrigues Lopes. Francisco foi atingido por um galho, quando trabalhava na derrubada de árvores no sítio Canais e Diques da Usina Hidrelétrica de Belo Monte](http://www.prt8.mpt.gov.br/site/node/239)

[Irregularidades nos canteiros da construção de duas escolas, as quais fazem parte das exigências condicionantes determinadas pelo IBAMA (Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis) para a concessão da licença prévia à instalação da Usina Hidrelétrica de Belo Monte](http://www.prt8.mpt.gov.br/site/node/137)"
Implantação da hidrelétrica de Dardanelos no município de Aripuanã (MT) e sistema de transmissão respectivo.,"IMPLANTAÇÃO DA USINA HIDRELETRICA (UHE) DARDANELOS, COM 261 MW DE CAPACIDADE INSTALADA, A SER LOCALIZADA NO RIO ARIPUANA, NO MUNICÍPIO DE ARIPUANA/MT, BEM COMO DO RESPECTIVO SISTEMA DE TRANSMISSAO ASSOCIADO.",5,"[Ação cautelar ambiental](*Dados fornecidos previamente por assessoria de imprensa em relação à matéria: http://www.apublica.org/2013/10/investimentos-bndes-em-infraestrutura-na-amazonia-caso-da-hidreletrica-de-dardanelos/)

[MPE questiona a validade do EIA/RIMA por diversas inconsistências ambientais e de impacto à população e comunidades indígenas](*Dados fornecidos previamente por assessoria de imprensa em relação à matéria: http://www.apublica.org/2013/10/investimentos-bndes-em-infraestrutura-na-amazonia-caso-da-hidreletrica-de-dardanelos/)

[Ação cautelar para excluir Dardanelos do leilão de energia a ser realizado no dia 16 de dezembro](http://www.mp.mt.gov.br/conteudo.php?sid=58&cid=40540&parent=58)

[Cessação de todas as atividades modificadoras do meio ambiente (derrubadas, obras, etc) no empreendimento para implantação das linhas de transmissão do aproveitamento hidrelétrico de Dardanelos](http://www.mp.mt.gov.br/conteudo.php?sid=58&cid=41461&parent=58)

[Terceirização ilícita e descumprir normas de saúde e segurança nas obras da Usina Hidrelétrica de Dardanelos](http://portal.mpt.gov.br/wps/portal/portal_do_mpt/comunicacao/noticias/conteudo_noticia/!ut/p/c4/04_SB8K8xLLM9MSSzPy8xBz9CP0os3hH92BPJydDRwN_E3cjA88QU1N3L7OgMC93I_2CbEdFAAovLRY!/?WCM_GLOBAL_CONTEXT=/wps/wcm/connect/mpt/portal+do+mpt/comunicacao/noticias/odebrecht+pagara+rs+2+mi+por+terceirizacao+ilegal<br />)"
Implantação da hidrelétrica de Jirau no município de Porto Velho (RO) e do sistema de transmissão.,"CONSTRUCAO DA UHE JIRAU, COM CAPACIDADE INSTALADA DE GERACAO DE 3.300 MW, NO RIO MADEIRA, NO MUNICIPIO DE PORTO VELHO -RO, BEM COMO DAS INSTALACOES DE TRANSMISSAO DE INTERESSE RESTRITO A CENTRAL GERADORA.",8,"[Compensações ambientais da usina do rio madeira devem permanecer em Rondônia](http://www.prro.mpf.mp.br/downloads/institucional/ambiente/acp_compensacoes_ambientais_da_usina_do_madeira.pdf)

[Pedido de liminar em desfavor do IBAMA (remarcação de reservas ambientais em vista da inundação dos lagos da UHE Jirau e UHE Santo Antônio)](http://www.prro.mpf.mp.br/downloads/institucional/cidadania/ACP_02_2012.pdf)

[Pedido de antecipação de tutela para determinar cumprimento de obrigações de fazer e pagar, para garantir a segurança e os direitos dos trabalhadores da Usina de Jirau](http://www.prt14.mpt.gov.br/noticias2.php?opt=detalhe_noticia&idnot=599)

[Cumprimento de 11 requisitos de normas regulamentadoras para proteger os trabalhadores no canteiro de obras da Usina Jirau, no rio Madeira, em Porto Velho, e indenização de 5 milhões de reais](http://www.prt14.mpt.gov.br/noticias2.php?opt=detalhe_noticia&idnot=849)

[Indenização no valor de R$ 4.903.800,00 pela pela prática de condutas ilícitas e danosas, ensejadoras e caracterizadoras de dano moral coletivo](http://www.prt14.mpt.gov.br/noticias2.php?opt=detalhe_noticia&idnot=681)

[Os trabalhadores, um grupo de sete pessoas, dos quais dois candidatos a empregados, eram contratados da Enesa Engenharia e estavam sendo transportados do aeroporto de Porto Velho ao alojamento no canteiro de obras da Usina Jirau, distante cerca de 110km da capital do estado, em veículo da empresa, o qual se chocou de frente com um caminhão](http://www.prt14.mpt.gov.br/noticias2.php?opt=detalhe_noticia&idnot=690)

[Inspeção no canteiro de obras da Usina Jirau](http://www.prt14.mpt.gov.br/noticias2.php?opt=detalhe_noticia&idnot=759)

[Garantia do vínculo de emprego de todos os trabalhadores que integravam os quadros das empresas autuadas](http://www.prt14.mpt.gov.br/noticias2.php?opt=detalhe_noticia&idnot=758)"
"Implantação da hidrelétrica de Parecis entre os municípios de Sapezal (MT) e Campos de Júlio (MT), além da linha de transmissão.","IMPLANTACAO DA PCH PARECIS, LOCALIZADA NO RIO JURUENA, ENTREOS MUNICIPIOS DE SAPEZAL E CAMPOS DE JULIO, AMBOS NO ESTADODO MATO GROSSO, COM POTENCIA TOTAL INSTALADA DE 15,4 MW, BEMCOMO DA LT EM 138 KV, CIRCUITO SIMPLES, COM 23 KM DE EXTENSAO, NECESSARIA PARA INTERLIGACAO A REDE BASICA.",,
"Implantação da hidrelétrica de Rondon entre os municípios de Sapezal (MT) e Campos de Júlio (MT), além de linha de transmissão.","IMPLANTACAO DA PCH RONDON, LOCALIZADA NO RIO JURUENA, ENTREOS MUNICIPIOS DE SAPEZAL E CAMPOS DE JULIO, AMBOS NO ESTADODO MATO GROSSO, COM POTENCIA TOTAL INSTALADA DE 13,0 MW, BEM COMO DA LT EM 138 KV, CIRCUITO SIMPLES, COM 47 KM DE EXTENSAO, NECESSARIA PARA INTERLIGACAO A REDE BASICA.",,
Implantação da hidrelétrica de Teles Pires nos municípios de Paranaíta (MT) e Jacareacanga (PA),"IMPLANTACAO DA UHE TELES PIRES, COM 1.820 MW DE POTENCIA INSTALADA, LOCALIZADA NO RIO TELES PIRES, NOS MUNICIPIOS DE PARANAITA E JACAREACANGA, NOS ESTADOS DE MATO GROSSO E PARA, RESPECTIVAMENTE, OBJETO DO LEILAO ANEEL N§004/2010.",4,"[Suspensão imediata do licenciamento da usina Teles Pires e a proibição de que o Ibama conceda Licença Prévia até que sejam sanadas as deficiências do Estudo de Impacto](http://www.prpa.mpf.mp.br/news/2010/noticias/mpf-questiona-na-justica-barragem-no-rio-teles-pires-divisa-do-pa-e-mt/?searchterm=teles%20pires)

[Suspensão das obras até que o empreendedor cumpra as condicionantes previstas no licenciamento ambiental para preparar a região para os impactos](http://www.prpa.mpf.mp.br/news/2011/noticias/consorcio-teles-pires-descumpre-condicionantes-e-mp-ajuiza-nova-acao-para-parar-a-obra/?searchterm=teles%20pires)

[Não cumprimento da determinação constitucional que obriga a realização de consulta livre, prévia e informada dos povos indígenas afetados](http://www.prpa.mpf.mp.br/news/2012/mp-pede-suspensao-do-licenciamento-e-obras-da-usina-de-teles-pires-por-falta-de-consulta-a-indigenas/?searchterm=teles%20pires)

[Antecipação dos efeitos da tutela inibitória, obrigando a empresa ao cumprimento imediato de uma série de obrigações para regularização do meio ambiente laboral](http://www.prt23.mpt.gov.br/sga/sitioInternet/conteudo/Conteudo.seam?noticiaId=3444&cid=156318<br />)"
"Implantação da linha de transmissão Jauru (MT) - Cuiabá (MT), subestações em Jauru e ampliação da subestação Cuiabá (MT).","IMPLANTACAO DA LT JAURU - CUIABA EM 500 KV, COM 348 KM, E RESPECTIVAS SUBESTACOES JAURU E AMPLIACAO DA SUBESTACAO CUIABA, LOCALIZADOS NO ESTADO DO MATO GROSSO, OBJETO DO LOTE E DO LEILAO 001/2009 DA ANEEL.",,
Implantação da linha de transmissão Miranda (MA) - Encruzo Novo (MA) e da subestação Encruzo Novo (MA).,"IMPLANTACAO DA LINHA DE TRANSMISSAO MIRANDA - ENCRUZO NOVO EM 230 KV (COM 240 KM DE EXTENSAO) DA SUBESTACAO ENCRUZO NOVO EM 230/69 KV E DAS DEMAIS INSTALACOES ACESSORIAS, NO ESTADO DO MARANHAO.",,
Implantação da linha de transmissão Oriximiná (PA) - Itacoatiara (AM) - Cariri (AM) e das subestações Itacoatiara (AM) e Cariri (AM).,"IMPLANTACAO DA LINHA DE TRANSMISSAO ORIXIMINA (PA) - ITACOATIARA (AM) - CARIRI (AM), EM 500 KV, COM APROXIMADAMENTE 586 KM DE EXTENSAO, E DAS SUBESTACOES ITACOATIARA E CARIRI.",,
Implantação da linha de transmissão Porto Velho (RO) - Abuna (RO) - Rio Branco (AC).,"IMPLANTACAO DA LINHA DE TRANSMISSAO PORTO VELHO (RO) - ABUNA (RO) - RIO BRANCO (AC), EM CIRCUITO SIMPLES, 230 KV, COM EXTENSAO DE 487 KM.",,
